first_name,last_name,series,episode,signature_bake,technical,show_stopper,baker_age,baker_occupation,hometown,result
Yasmin,Limbert,2,3,Egyptian Dukkah Loaf with Mixed Spices,2,"Pesto Bread
Sweet Coconut Rolls",43,Childminder,"West Kirby, The Wirral",STAR BAKER
Ben,Frazer,2,4,Stem Ginger Nuts,5,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,31,Graphic Designer,Northampton,OUT
Holly,Bell,2,4,Strawberry and Custard Melts,3,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,Advertising executive,Leicester,STAR BAKER
Janet,Basu,2,4,Christmas Marzipan Biscuits,4,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,Teacher of Modern Languages,"Formby, Liverpool",IN
Jason,White,2,4,Lebkuchen,1,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,Civil Engineering Student,Croydon,STAR BAKER
"""Jo""",NA,2,4,Lavender Biscuits,NA,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA,NA
Mary-Anne,Boermans,2,4,Melting Moments,2,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,45,Housewife,"Kidderminster, Worcestershire",IN
Robert,Billington,2,4,Chocolate and Ginger Oat Biscuits,7,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,25,Photographer,London,IN
Yasmin,Limbert,2,4,Chocolate Chip and Pistachio Biscotti,6,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,43,Childminder,"West Kirby, The Wirral",IN
Holly,Bell,2,5,"Stilton, Potato and Caramelised Onion Pie",4,Lime Meringue Pie,31,Advertising executive,Leicester,IN
Janet,Basu,2,5,Chicken and Chestnut Pie,1,Rhubarb Meringue Pie,63,Teacher of Modern Languages,"Formby, Liverpool",STAR BAKER
Jason,White,2,5,Brown Down Chicken Pie,7,Plum Meringue Pie,19,Civil Engineering Student,Croydon,OUT
"""Jo""",NA,2,5,Salmon and Asparagus Pie,NA,Apple and Raspberry Meringue Pie,NA,NA,NA,NA
Mary-Anne,Boermans,2,5,Chicken and Bacon Pie,2,Midnight Meringue,45,Housewife,"Kidderminster, Worcestershire",IN
Robert,Billington,2,5,Chicken and Mushroom Pie,3,Rhubarb and Custard Meringue Pie,25,Photographer,London,OUT
Yasmin,Limbert,2,5,Family Fish Pie,5,Peach and Raspberry Meringue Pie,43,Childminder,"West Kirby, The Wirral",IN
Holly,Bell,2,6,Father Christmas' Baked Cheesecake,3,Hansel and Gretel's Croquembouche,31,Advertising executive,Leicester,IN
Janet,Basu,2,6,Rhubarb and Ginger Baked Cheesecake,5,Orange and Nougatine Croquembouche,63,Teacher of Modern Languages,"Formby, Liverpool",IN
"""Jo""",NA,2,6,Rum and Raisin Baked Cheesecake,NA,Limoncello and White Chocolate Croquembouche,NA,NA,NA,NA
Mary-Anne,Boermans,2,6,Tutti Fruitti Curd Baked Cheesecake,4,Orange and Praline Croquembouche with Cardamom Caramel,45,Housewife,"Kidderminster, Worcestershire",IN
Yasmin,Limbert,2,6,Baked Amaretto Cheesecake,2,Rose Croquembouche,43,Childminder,"West Kirby, The Wirral",OUT
Holly,Bell,2,7,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake",1,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,Advertising executive,Leicester,IN
Janet,Basu,2,7,Chocolate Amaretto Mousse Cake,4,Pain Aux RaisinPlain CroissantPain Au Chocolat,63,Teacher of Modern Languages,"Formby, Liverpool",OUT
"""Jo""",NA,2,7,Raspberry & Strawberry Mousse Cake,NA,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA,NA
Mary-Anne,Boermans,2,7,Chocolate and Orange Mousse Cake,2,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,45,Housewife,"Kidderminster, Worcestershire",IN
Holly,Bell,2,8,Banoffee Inspired Mille Feuille,2,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,31,Advertising executive,Leicester,Runner-up
"""Jo""",NA,2,8,Raspberry and Blueberry Mille Feuille,NA,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA,NA
Mary-Anne,Boermans,2,8,Lemon and Ginger Mille Feuille,3,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,45,Housewife,"Kidderminster, Worcestershire",Runner-up
Brendan,Lynch,3,1,"Plum, Sour Cherry & Walnut",10,UNKNOWN,63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,1,"Apple, Hazelnut and Calvados",5,Hidden Cupcake Cake,27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,1,"Plum, Ginger & Orange",7,UNKNOWN,45,Intensive care consultant,Sheffield,IN
James,Morton,3,1,"Parsnip, Pear, and Pecan",2,"""Simmer Dim"" Sunset Cake",21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,1,"Toffee Apple, Orange & Cranberry",11,Hidden Pink Hearts Cake,22,Law student,Wigan,IN
Manisha,Parmar,3,1,"Vanilla, Peach and Raspberry",6,White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,27,Nursery nurse,Leicester,IN
Natasha,Stringer,3,1,Pineapple & Passion Fruit,12,Mother's Day Layered Rose Cake,36,Midwife,"Tamworth, Staffordshire",OUT
Peter,Maloney,3,1,"Pear, Muscat & Chocolate",3,Jubilee Cake,43,Sales manager,"Windsor, Berkshire",IN
Ryan,Chong,3,1,Kumquat and Orange Polenta,8,Hidden Flowerbed Mousse Cake,38,Photographer,Bristol,IN
Sarah-Jane,Willis,3,1,"Pear, Chocolate and Hazelnut",1,Hidden Crown Cake,28,Vicar's wife,"Bewbush, West Sussex",IN
Stuart,Marston-Smith,3,1,Tomato and Ginger,9,Lemon and Pistachio Union Flag Cake,26,PE teacher,"Lichfield, Staffordshire",IN
Victoria,Chester,3,1,Pear and Pecan,4,Blackbird Pie Cake,50,CEO of the charity Plantlife,Somerset,STAR BAKER
Brendan,Lynch,3,2,Middle Eastern Taboon BreadIndian Rotis,4,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,2,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,"Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,2,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,UNKNOWN,45,Intensive care consultant,Sheffield,IN
James,Morton,3,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,"Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,2,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,"Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",22,Law student,Wigan,STAR BAKER
Manisha,Parmar,3,2,Indian FlatbreadsItalian Flatbreads,6,UNKNOWN,27,Nursery nurse,Leicester,IN
Peter,Maloney,3,2,Fennel and Nigella Seed NaanBannock Bread,11,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",43,Sales manager,"Windsor, Berkshire",OUT
Ryan,Chong,3,2,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",38,Photographer,Bristol,IN
Sarah-Jane,Willis,3,2,Toasted Coconut and Lime RotisOatcakes,10,UNKNOWN,28,Vicar's wife,"Bewbush, West Sussex",IN
Stuart,Marston-Smith,3,2,Bombay BreadChorizo and Spring Onion Naan,9,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",26,PE teacher,"Lichfield, Staffordshire",IN
Victoria,Chester,3,2,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,"Saffron and Golden Raisin Bagels
Porcini Bagels",50,CEO of the charity Plantlife,Somerset,IN
Brendan,Lynch,3,3,Apple and Ginger Tarte Tatin,9,"Blackberry, Nectarine and Dragon Fruit Tart",63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,3,"Plum, Cherry and Five Spice Tarte Tatin",3,"Raspberry, Pistachio and Lemon Tart",27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,3,Savoury Pear and Roquefort Tarte Tatin,2,"Pineapple, Coconut and Frangipane Tart",45,Intensive care consultant,Sheffield,IN
James,Morton,3,3,Apple and Lavender Tarte Tatin,1,"Rose, Lychee and Raspberry Fruit Tart",21,Medical student,"Hillswick, Shetland Islands",STAR BAKER
John,Whaite,3,3,Apple and Vanilla Tarte Tatin with Walnut Praline,6,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",22,Law student,Wigan,IN
Manisha,Parmar,3,3,"Cinnamon, Apple and Pear Tarte Tatin",10,Rum and Tropical Fruit Tart,27,Nursery nurse,Leicester,IN
Ryan,Chong,3,3,Spiced Pear Tarte Tatin,5,UNKNOWN,38,Photographer,Bristol,IN
Sarah-Jane,Willis,3,3,Caramelised Banana Tarte Tatin,8,French Apple Tart with Blackberry and Cassis Jam,28,Vicar's wife,"Bewbush, West Sussex",IN
Stuart,Marston-Smith,3,3,Pear and Almond Tarte Tatin,7,Raspberry Triple Chocolate Layered Tart,26,PE teacher,"Lichfield, Staffordshire",IN
Victoria,Chester,3,3,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,Tropical Fruit Tart with Black Pepper Crust,50,CEO of the charity Plantlife,Somerset,OUT
Brendan,Lynch,3,4,Clementine and Chestnut Torte,1,"Pear, Chocolate and Hazelnut Dacquoise",63,Recruitment consultant,Sutton Coldfield,STAR BAKER
Cathryn,Dresser,3,4,"White Chocolate, Macadamia and Coffee Torte",3,"Gooseberry, Almond and Honey Meringue",27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,4,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",45,Intensive care consultant,Sheffield,IN
James,Morton,3,4,"Hazelnut, Chocolate and Passionfruit Torte",5,"Fig, Chestnut, Cherry and Chocolate Layered Meringue",21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,4,'Torte Noir' Black Forest Torte with Boozy Cream,6,Elderflower and Bramble Berry Pavlova,22,Law student,Wigan,IN
Manisha,Parmar,3,4,"Almond, Chocolate and Cherry Torte",9,Tiramisu Layered Meringue Dessert,27,Nursery nurse,Leicester,IN
Ryan,Chong,3,4,Green Tea Opera Torte,7,"Strawberry, Rose and Pistachio Meringue",38,Photographer,Bristol,IN
Sarah-Jane,Willis,3,4,Chocolate and Almond Truffle Torte,4,Hazelnut Tiramisu Layered Meringue,28,Vicar's wife,"Bewbush, West Sussex",IN
Stuart,Marston-Smith,3,4,Black Forest Torte,8,Choca Blocka Mocha Meringue,26,PE teacher,"Lichfield, Staffordshire",OUT
Brendan,Lynch,3,5,Salmon Coulibiac in a Scandinavian Pastry,3,All American Chiffon Pie,63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,5,Full English Wellington,1,Chocolate and Peanut Butter Pumpkin Pie,27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,5,"Chickpea, Spinach & Mushroom Wellington",7,Trick or Treat Pumpkin Pie,45,Intensive care consultant,Sheffield,IN
James,Morton,3,5,Four Pig Wellington,6,Sweet Potato Pie,21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,5,Venison and Haggis Wellington,2,Star-Spangled Pecan Pie,22,Law student,Wigan,IN
Manisha,Parmar,3,5,Lamb Wellington with Rosemary and Mint,5,Banana Scotch Pie,27,Nursery nurse,Leicester,OUT
Ryan,Chong,3,5,Curry Spiced Seabass Wellington,8,Key Lime Pie,38,Photographer,Bristol,STAR BAKER
Sarah-Jane,Willis,3,5,Beef Wellington with Parma Ham and Gorgonzola Cheese,4,Chocolate and Banana Cream Pie,28,Vicar's wife,"Bewbush, West Sussex",IN
Brendan,Lynch,3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings",1,"Spinach, Cheese and Walnut Strudel",63,Recruitment consultant,Sutton Coldfield,STAR BAKER
Cathryn,Dresser,3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges",3,Roasted Vegetable Couscous and Sheep Cheese Strudel,27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,6,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2,"Leek, Potato, Pistachio and Gruyère Strudel",45,Intensive care consultant,Sheffield,IN
James,Morton,3,6,Banana and Clove PuddingsClootie Dumplings,7,"Strawberry, Rhubarb and Ginger Strudel",21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,6,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5,Did not complete due to injury,22,Law student,Wigan,IN
Ryan,Chong,3,6,Chocolate FondantsSticky Ginger and Date Puddings,6,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",38,Photographer,Bristol,IN
Sarah-Jane,Willis,3,6,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4,Sweet Strudel with Sour Cherries,28,Vicar's wife,"Bewbush, West Sussex",IN
Brendan,Lynch,3,7,Chelsea Bunskis,4,Black Forest Christmas Stollen,63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,7,Lady Arundel's Manchet Buns,5,Bonfire Night Tear 'n' Share Brioche,27,Shop assistant,"Pease Pottage, West Sussex",IN
Danny,Bryden,3,7,Bakewell Chelsea Buns,2,European Christmas Wreath,45,Intensive care consultant,Sheffield,STAR BAKER
James,Morton,3,7,Easter Chelsea Buns,1,Whisky Kugelhopf-Brioche Baba,21,Medical student,"Hillswick, Shetland Islands",IN
John,Whaite,3,7,Cherry and Almond Saffron Buns,3,Marzipan Stollen,22,Law student,Wigan,IN
Ryan,Chong,3,7,Lardy Cakes,6,Char Siu Bao,38,Photographer,Bristol,OUT
Sarah-Jane,Willis,3,7,"Orange, Nutmeg and Saffron Buns",7,Sour Cherry and Dark Chocolate Christmas Plait,28,Vicar's wife,"Bewbush, West Sussex",OUT
Brendan,Lynch,3,8,Multi-Seed Savoury Crackers,2,Fantasy Gingerbread Bird House,63,Recruitment consultant,Sutton Coldfield,IN
Cathryn,Dresser,3,8,Cheese and Pickle Crackers,5,Gingerbread Buckingham Palace,27,Shop assistant,"Pease Pottage, West Sussex",OUT
Danny,Bryden,3,8,Spiced Almond Drinks Crackers,4,Gingerbread Big Ben,45,Intensive care consultant,Sheffield,IN
James,Morton,3,8,"Smoky Cayenne, Cumin and Chilli Crackers",1,Gingerbread Barn,21,Medical student,"Hillswick, Shetland Islands",STAR BAKER
John,Whaite,3,8,Asian Spice Crackers,3,Gingerbread Roman Coliseum,22,Law student,Wigan,IN
Brendan,Lynch,3,9,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3,Gateau St. Honoré,63,Recruitment consultant,Sutton Coldfield,IN
Danny,Bryden,3,9,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4,Rosewater and Lychee St. Honoré,45,Intensive care consultant,Sheffield,OUT
James,Morton,3,9,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons",1,"Coffee, Caramel and Hazelnut Paris-Brest",21,Medical student,"Hillswick, Shetland Islands",STAR BAKER
John,Whaite,3,9,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,2,Gateau St. Honoré a la Passion,22,Law student,Wigan,IN
Brendan,Lynch,3,10,Potato and Pepper Pithivier,2,Family Reunion Chiffon Cake,63,Recruitment consultant,Sutton Coldfield,Runner-up
James,Morton,3,10,Spanish Pithivier with Chorizo and Red Pepper,1,United Chiffon Cakes,21,Medical student,"Hillswick, Shetland Islands",Runner-up
John,Whaite,3,10,Italian Sausage and Roasted Vegetable Pithivier,2,Heaven and Hell Chiffon Cake,22,Law student,Wigan,WINNER
Ali,Imdad,4,1,Rose and Pistachio Cake,11,"Chocolate, Raspberry and Passion Fruit Engagement Cake",25,Charity worker,"Saltley, Birmingham",IN
Beca,Lyne-Pirkis,4,1,Grapefruit Sandwich Cake,8,Chocolate Cherry Indulgence,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,1,"Strawberry, Vanilla and Rosewater Summer Basket",3,Chocolate and Orange 'Fripperous' Hat Cake,66,Director of an engraving company,"Didcot, Oxfordshire",IN
Deborah,Manger,4,1,Pineapple Cake,9,'Coffee Time',51,Dentist,Peterborough,IN
Frances,Quinn,4,1,Giant Jam Sandwich,7,Secret Squirrel Cake,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,1,Strawberries and Cream Cake,4,Almond and Espresso Chocolate Cake,37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,1,Passion Fruit and Coconut Cake,6,Black Forest Revisited,51,Council Worker,Sheffield,IN
Kimberley,Wilson,4,1,Blood Orange Cake,10,"Chocolate, Raspberry & Basil Layer Cake",30,Psychologist,London,IN
Lucy,Bellamy,4,1,Timperley Early Cake,2,Thyme 'Wildwood' Cake,38,Horticulturist,"Grimsby, Lincolnshire",IN
Mark,Onley,4,1,Lemon and Poppy Seed Cake,5,Chocolate Monster,37,Carpenter and Kitchen Fitter,Milton Keynes,IN
Robert,Smart,4,1,Pecan and Apple Cake,1,Raspberry Chocolate Cake,54,Space Satellite Designer,"Melbourn, Cambridgeshire",STAR BAKER
Ruby,Tandoh,4,1,Rhubarb and Custard Sandwich Cake,12,Chocolate and Ginger Night Sky Cake,20,History of Art and Philosophy Student,"Southend, Essex",IN
Toby,Waterworth,4,1,Spiced and Iced Carrot Cake,13,Two Tiered Chocolate Cake,30,Web Programmer,"Reading, Berkshire",OUT
Ali,Imdad,4,2,Italian Grissini,9,Sweet and Savoury Yin Yang Bread,25,Charity worker,"Saltley, Birmingham",IN
Beca,Lyne-Pirkis,4,2,Fennel and Chilli Breadsticks,11,Five Strand Christmas Wreath,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,2,Mediterranean Breadsticks with Oregano,4,Double Plaited Loaf,66,Director of an engraving company,"Didcot, Oxfordshire",IN
Deborah,Manger,4,2,Fennel & Chilli Breadsticks,8,Walnut Fleur Loaf,51,Dentist,Peterborough,IN
Frances,Quinn,4,2,Giant Matchsticks,2,Sailor's Knot,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,2,Rosemary and Parmesan Grissini,7,Harvest Crown,37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,2,Moroccan Breadsticks,10,Picasso Sun Bread,51,Council Worker,Sheffield,IN
Kimberley,Wilson,4,2,Nigella Seed and Parmesan Breadsticks,1,Peace Bread,30,Psychologist,London,IN
Lucy,Bellamy,4,2,Grissini with Salt,12,Roast Tomato Bread,38,Horticulturist,"Grimsby, Lincolnshire",OUT
Mark,Onley,4,2,Rosemary & Raisin Breadsticks,6,Sage & Garlic Plait,37,Carpenter and Kitchen Fitter,Milton Keynes,IN
Robert,Smart,4,2,Twisty Rye Bread Sticks,5,Tribute Loaf,54,Space Satellite Designer,"Melbourn, Cambridgeshire",IN
Ruby,Tandoh,4,2,Mexican Breadsticks,3,White Chocolate and Orange Peacock Bread,20,History of Art and Philosophy Student,"Southend, Essex",STAR BAKER
Ali,Imdad,4,3,"Coconut, Raspberry and Lemon Meringue Trifle",5,Vanilla Latte Mini CakesLime & Mint Shortbread Pops,25,Charity worker,"Saltley, Birmingham",IN
Beca,Lyne-Pirkis,4,3,Orange and Ginger Trifle,10,Limoncello and Blueberry BurstsMillionaire Shortbread,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,3,Caribbean Pina Colada Trifle,4,Ninety-NinersSachertorte Parcels,66,Director of an engraving company,"Didcot, Oxfordshire",STAR BAKER
Deborah,Manger,4,3,Tropical Trifle*,9,Canelé Cherry and Chocolate CakesRose Cookies,51,Dentist,Peterborough,OUT
Frances,Quinn,4,3,Apple and Blackberry Crumble Trifle,8,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,3,Raspberry and Almond Trifle,1,Billionaire BouchéesOrange Financiers,37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,3,Caramel and Apple Trifle*,7,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,51,Council Worker,Sheffield,IN
Kimberley,Wilson,4,3,"Peach, Almond and Ginger Trifle",6,Chocolate Pistachio FinanciersLemon Bergamot Biscuits,30,Psychologist,London,IN
Mark,Onley,4,3,"Ginger, Mango and Passion Fruit Trifle",11,Rose and Pistachio MacaroonsChocolate and Raspberry Bites,37,Carpenter and Kitchen Fitter,Milton Keynes,OUT
Robert,Smart,4,3,Rhubarb and Orange Trifle,2,Almond FriandsTurǫn Macaroons,54,Space Satellite Designer,"Melbourn, Cambridgeshire",IN
Ruby,Tandoh,4,3,Desert Island Trifle,3,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,20,History of Art and Philosophy Student,"Southend, Essex",IN
Ali,Imdad,4,4,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8,"Orange, Cardamom and Date M'Hanncha",25,Charity worker,"Saltley, Birmingham",OUT
Beca,Lyne-Pirkis,4,4,Mamgu's Cherry-Apple Tart,2,Moroccan Vegetable Filo Feast,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7,Roasted Vegetable Filo Pie with Feta Cheese,66,Director of an engraving company,"Didcot, Oxfordshire",IN
Frances,Quinn,4,4,Peach Pie In the Sky,1,Cherry Tree Baklava Filo Pie,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,4,Apple & Maple Syrup Pie,9,Spanakopita (Walnut and Feta Cheese),37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,4,Apple Pie with Sage Pastry,5,Fresh Fig and Feta Filo Flan,51,Council Worker,Sheffield,IN
Kimberley,Wilson,4,4,Pecan and Rosemary Caramel Apple Pie,4,"Chicken, Bacon and Butternut Squash Pie",30,Psychologist,London,STAR BAKER
Robert,Smart,4,4,Apple and Pear Pie with Thyme,3,Spanakopita with St George's Mushrooms,54,Space Satellite Designer,"Melbourn, Cambridgeshire",IN
Ruby,Tandoh,4,4,Apple and Marzipan Pie,6,"Rose, Almond and Raspberry Filo Pie",20,History of Art and Philosophy Student,"Southend, Essex",IN
Beca,Lyne-Pirkis,4,5,"Chocolate, Cherry and Hazelnut Brownies",5,Tiered Macaron and Sugar Dough Biscuit Centrepiece,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,5,Mixed Berry and Almond Crumble Traybake,1,Shortbread Bavarian Clock Tower,66,Director of an engraving company,"Didcot, Oxfordshire",STAR BAKER
Frances,Quinn,4,5,Millionaire Banoffee Bonus,3,Biscuit Buttons and Beads,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,5,Apricot and Pistachio Tiffin,2,Shortbread and Macaron Helter-Skelter,37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,5,Breakfast Traybake,8,Japanese Pagoda Tea Tower,51,Council Worker,Sheffield,IN
Kimberley,Wilson,4,5,Cherry and Almond Bakewell Florentine Slice,7,Black and White Viennese Biscuit Stack,30,Psychologist,London,IN
Robert,Smart,4,5,Blueberry & Orange Traybake,4,Dalek,54,Space Satellite Designer,"Melbourn, Cambridgeshire",OUT
Ruby,Tandoh,4,5,Blackberry and Lemon Bakewell Slice,6,'Dropped Ice-Cream' Biscuit Centrepiece,20,History of Art and Philosophy Student,"Southend, Essex",IN
Beca,Lyne-Pirkis,4,6,Bara Brith,6,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,6,Oxford Nutty Fruit Loaf,4,Schnecken BunsVanilla Custard Skolebrød,66,Director of an engraving company,"Didcot, Oxfordshire",IN
Frances,Quinn,4,6,Chai Tea Loaf,2,Hot Cross BriochesRhubarb and Custard Kolaches,31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Glenn,Cosby,4,6,Devonshire Panettone,5,Almond and Apricot BriochesSticky Caramel Kanelbullen,37,English Teacher,"Teignmouth, Devon",IN
Howard,Middleton,4,6,Date & Hemp Yorkshire Loaf,7,Peachy BunsGerman Baumschnecken,51,Council Worker,Sheffield,OUT
Kimberley,Wilson,4,6,Chai Spiced Ginger and Date Tea Loaf,3,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,30,Psychologist,London,IN
Ruby,Tandoh,4,6,Citrus Tea Loaf,1,Twisted Swedish KanelbullarSaffron St. Lucia Buns,20,History of Art and Philosophy Student,"Southend, Essex",STAR BAKER
Beca,Lyne-Pirkis,4,7,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,1,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,7,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,6,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,66,Director of an engraving company,"Didcot, Oxfordshire",IN
Frances,Quinn,4,7,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,5,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,31,Children's Clothes Designer,"Market Harborough, Leicestershire",STAR BAKER
Glenn,Cosby,4,7,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,3,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,37,English Teacher,"Teignmouth, Devon",OUT
Kimberley,Wilson,4,7,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,4,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",30,Psychologist,London,IN
Ruby,Tandoh,4,7,Plum Jam Roly-Polywith Ginger Ice cream,2,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,20,History of Art and Philosophy Student,"Southend, Essex",IN
Beca,Lyne-Pirkis,4,8,"Potato, Spelt and Rosemary Focaccia",4,Spiced Butternut Squash and Pecan 'Cheese' Cake,31,Military Wives' Choir Singer,"Aldershot, Hampshire",IN
Christine,Wallace,4,8,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,66,Director of an engraving company,"Didcot, Oxfordshire",OUT
Frances,Quinn,4,8,'Chelsea Flour Show' Bun Bouquet,3,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,Children's Clothes Designer,"Market Harborough, Leicestershire",IN
Kimberley,Wilson,4,8,Wild Garlic Pesto and Parma Ham Spelt Loaf,2,Butternut Squash and Spice Cake Toadstool House,30,Psychologist,London,IN
